"TOA5","WindWhisperCampbell","CR1000X","12345","CPU:windwhisper.CR1X","12345","Campbell"
"TIMESTAMP","RECORD","WS_80m","WS_80m","WD_80m","BP_2m","AirTC_2m"
"TS","RN","m/s","m/s","deg","hPa","deg C"
"","","Avg","Std","Avg","Avg","Avg"
"2025-01-01 00:00:00",1,8.21,0.71,191.0,1009.3,11.8
"2025-01-01 00:10:00",2,8.34,0.69,193.4,1009.1,11.7
"2025-01-01 00:20:00",3,8.18,0.66,188.7,1008.9,11.6
"2025-01-01 00:30:00",4,7.96,0.65,186.5,1008.8,11.5
"2025-01-01 00:40:00",5,8.07,0.68,187.8,1008.7,11.5
"2025-01-01 00:50:00",6,8.26,0.70,190.2,1008.6,11.4
