Timestamp,Ref_Speed_100m,Ref_Dir_100m,Ref_Temp_2m,Ref_Pressure_hPa
2016-01-01T00:00:00Z,8.04,200.7,23.23,862.25
2016-01-01T01:00:00Z,10.28,197.5,22.86,862.36
2016-01-01T02:00:00Z,11.36,198.2,24.52,862.99
2016-01-01T03:00:00Z,8.04,198.5,24.69,863.34
2016-01-01T04:00:00Z,9.56,201.8,24.99,863.41
2016-01-01T05:00:00Z,10.14,199.4,27.37,864.47
2016-01-01T06:00:00Z,9.99,217.4,26.54,863.94
2016-01-01T07:00:00Z,8.56,213.3,28.15,864.23
2016-01-01T08:00:00Z,11.96,218.5,28.73,865.08
2016-01-01T09:00:00Z,10.92,234.9,29.98,865.27
2016-01-01T10:00:00Z,10.63,231.5,30.57,866.13
2016-01-01T11:00:00Z,9.32,228.4,30.87,865.74
2016-01-01T12:00:00Z,11.22,229.5,30.79,866.08
2016-01-01T13:00:00Z,12.4,227.1,31.46,865.69
2016-01-01T14:00:00Z,10.01,224.2,30.03,865.29
2016-01-01T15:00:00Z,9.74,232.0,30.25,865.83
2016-01-01T16:00:00Z,9.6,228.0,29.85,864.9
2016-01-01T17:00:00Z,8.6,222.6,27.17,863.85
2016-01-01T18:00:00Z,10.79,228.3,26.16,864.04
2016-01-01T19:00:00Z,8.25,217.3,25.28,863.31
2016-01-01T20:00:00Z,9.08,213.6,23.98,862.61
2016-01-01T21:00:00Z,9.32,220.9,24.83,863.38
2016-01-01T22:00:00Z,9.51,222.4,23.37,862.83
2016-01-01T23:00:00Z,12.7,205.5,23.61,862.85
2016-01-02T00:00:00Z,8.09,190.9,23.21,862.43
2016-01-02T01:00:00Z,9.83,193.8,22.79,862.2
2016-01-02T02:00:00Z,9.87,182.4,24.27,862.75
2016-01-02T03:00:00Z,5.16,172.6,24.31,863.06
2016-01-02T04:00:00Z,10.73,164.8,25.56,864.03
2016-01-02T05:00:00Z,11.74,169.7,26.41,863.94
2016-01-02T06:00:00Z,8.9,166.4,26.88,863.97
2016-01-02T07:00:00Z,9.61,165.7,28.55,864.86
2016-01-02T08:00:00Z,11.77,167.9,29.78,865.44
2016-01-02T09:00:00Z,9.07,173.7,29.37,865.14
2016-01-02T10:00:00Z,9.26,184.4,30.37,865.47
2016-01-02T11:00:00Z,11.63,178.7,31.33,865.98
2016-01-02T12:00:00Z,12.01,179.6,30.98,865.76
2016-01-02T13:00:00Z,8.37,187.6,30.49,865.29
2016-01-02T14:00:00Z,7.42,208.0,30.56,865.36
2016-01-02T15:00:00Z,8.14,213.9,29.42,865.19
2016-01-02T16:00:00Z,13.34,212.9,28.96,865.04
2016-01-02T17:00:00Z,8.23,217.0,27.87,864.29
2016-01-02T18:00:00Z,9.41,227.8,28.04,864.34
2016-01-02T19:00:00Z,10.09,226.9,26.13,864.24
2016-01-02T20:00:00Z,11.43,222.0,24.51,862.97
2016-01-02T21:00:00Z,8.81,229.3,24.87,863.19
2016-01-02T22:00:00Z,9.81,235.0,22.62,862.23
2016-01-02T23:00:00Z,7.38,226.5,23.38,862.3
2016-01-03T00:00:00Z,9.85,222.2,22.64,862.27
2016-01-03T01:00:00Z,12.5,220.3,22.16,862.07
2016-01-03T02:00:00Z,11.1,218.3,23.63,862.65
2016-01-03T03:00:00Z,11.84,216.5,24.32,862.61
2016-01-03T04:00:00Z,9.08,231.0,24.96,863.18
2016-01-03T05:00:00Z,10.4,227.9,26.13,863.65
2016-01-03T06:00:00Z,10.46,235.6,28.17,865.01
2016-01-03T07:00:00Z,9.4,237.7,29.3,865.39
2016-01-03T08:00:00Z,14.63,226.1,29.06,864.54
2016-01-03T09:00:00Z,9.32,225.4,30.49,865.67
2016-01-03T10:00:00Z,8.49,224.0,30.27,865.19
2016-01-03T11:00:00Z,10.93,222.4,30.93,865.93
2016-01-03T12:00:00Z,7.11,225.7,31.22,866.16
2016-01-03T13:00:00Z,9.26,220.2,30.83,865.8
2016-01-03T14:00:00Z,9.85,216.5,30.31,865.28
2016-01-03T15:00:00Z,11.75,212.6,30.21,865.19
2016-01-03T16:00:00Z,11.85,198.2,29.13,865.05
2016-01-03T17:00:00Z,9.93,202.8,27.57,864.38
2016-01-03T18:00:00Z,7.95,195.0,26.99,864.3
2016-01-03T19:00:00Z,9.24,183.4,25.39,863.53
2016-01-03T20:00:00Z,8.05,181.1,25.09,863.22
2016-01-03T21:00:00Z,11.0,183.0,24.61,863.03
2016-01-03T22:00:00Z,7.33,177.9,24.01,862.69
2016-01-03T23:00:00Z,8.09,163.8,22.98,862.18
2016-01-04T00:00:00Z,9.25,165.2,22.99,862.53
2016-01-04T01:00:00Z,13.4,175.9,23.3,862.09
2016-01-04T02:00:00Z,9.73,176.9,23.69,862.79
2016-01-04T03:00:00Z,8.95,165.5,23.87,863.07
2016-01-04T04:00:00Z,9.45,176.5,24.48,863.05
2016-01-04T05:00:00Z,12.17,189.1,25.57,863.5
2016-01-04T06:00:00Z,10.87,182.2,27.68,864.28
2016-01-04T07:00:00Z,12.21,178.4,28.03,864.29
2016-01-04T08:00:00Z,6.45,177.8,29.38,864.95
2016-01-04T09:00:00Z,11.31,175.5,28.8,864.25
2016-01-04T10:00:00Z,8.28,188.3,30.06,866.04
2016-01-04T11:00:00Z,10.1,186.7,31.05,866.84
2016-01-04T12:00:00Z,7.86,172.7,30.92,865.27
2016-01-04T13:00:00Z,7.59,160.1,30.39,865.17
2016-01-04T14:00:00Z,7.02,168.2,30.96,865.33
2016-01-04T15:00:00Z,7.81,174.9,30.12,865.19
2016-01-04T16:00:00Z,5.76,187.0,28.09,864.71
2016-01-04T17:00:00Z,7.35,188.7,28.3,864.6
2016-01-04T18:00:00Z,10.15,192.0,26.77,864.16
2016-01-04T19:00:00Z,10.9,195.6,26.11,863.52
2016-01-04T20:00:00Z,7.94,203.3,24.42,862.34
2016-01-04T21:00:00Z,4.61,218.5,24.43,863.36
2016-01-04T22:00:00Z,11.13,225.8,23.07,862.34
2016-01-04T23:00:00Z,8.86,237.7,22.57,861.97
2016-01-05T00:00:00Z,11.17,251.0,22.56,862.11
2016-01-05T01:00:00Z,5.97,246.1,22.71,862.08
2016-01-05T02:00:00Z,11.06,240.6,23.67,862.66
2016-01-05T03:00:00Z,8.47,249.3,25.36,863.21
2016-01-05T04:00:00Z,13.83,240.1,25.18,863.51
2016-01-05T05:00:00Z,7.64,248.1,25.72,863.51
2016-01-05T06:00:00Z,9.31,241.5,27.37,864.54
2016-01-05T07:00:00Z,10.2,224.3,28.28,865.37
2016-01-05T08:00:00Z,6.96,215.9,28.72,864.77
2016-01-05T09:00:00Z,9.21,223.3,29.65,865.36
2016-01-05T10:00:00Z,12.7,223.4,29.92,865.17
2016-01-05T11:00:00Z,11.6,219.8,31.55,866.09
2016-01-05T12:00:00Z,9.08,227.0,31.45,866.27
2016-01-05T13:00:00Z,9.6,226.9,31.65,866.38
2016-01-05T14:00:00Z,9.28,224.2,30.65,865.68
2016-01-05T15:00:00Z,10.42,225.5,30.03,865.68
2016-01-05T16:00:00Z,9.82,228.0,29.14,864.96
