Timestamp	Speed_40m	Dir_40m	Temp_2m
2023-01-01T00:00:00Z	9.17	195.8	23.1
2023-01-01T00:10:00Z	9.98	192.7	22.9
2023-01-01T00:20:00Z	8.6	207.4	22.4
2023-01-01T00:30:00Z	9.08	224.6	23.2
2023-01-01T00:40:00Z	8.17	225.0	23.6
2023-01-01T00:50:00Z	9.0	240.8	24.1
2023-01-01T01:00:00Z	7.76	236.1	23.6
2023-01-01T01:10:00Z	8.72	229.1	23.8
2023-01-01T01:20:00Z	8.54	228.9	23.3
2023-01-01T01:30:00Z	7.49	216.3	23.4
2023-01-01T01:40:00Z	6.97	222.2	22.2
2023-01-01T01:50:00Z	6.05	219.0	23.5
2023-01-01T02:00:00Z	8.64	210.8	23.4
2023-01-01T02:10:00Z	8.31	223.7	22.9
2023-01-01T02:20:00Z	7.08	246.5	22.9
2023-01-01T02:30:00Z	9.72	223.8	23.9
2023-01-01T02:40:00Z	8.49	220.7	23.7
2023-01-01T02:50:00Z	7.89	232.0	22.3
2023-01-01T03:00:00Z	8.15	247.3	24.1
2023-01-01T03:10:00Z	9.3	241.8	23.7
2023-01-01T03:20:00Z	8.54	233.4	24.1
2023-01-01T03:30:00Z	8.39	220.9	23.7
2023-01-01T03:40:00Z	8.72	234.4	23.1
2023-01-01T03:50:00Z	8.69	244.5	24.8
2023-01-01T04:00:00Z	9.01	236.7	24.9
2023-01-01T04:10:00Z	9.75	241.2	25.4
2023-01-01T04:20:00Z	9.13	237.9	24.9
2023-01-01T04:30:00Z	6.81	219.2	25.4
2023-01-01T04:40:00Z	6.87	208.8	24.8
2023-01-01T04:50:00Z	9.99	209.1	24.7
2023-01-01T05:00:00Z	8.62	192.8	25.8
2023-01-01T05:10:00Z	9.12	184.3	25.8
2023-01-01T05:20:00Z	10.32	192.5	25.8
2023-01-01T05:30:00Z	9.94	188.2	25.8
2023-01-01T05:40:00Z	8.78	188.3	26.2
2023-01-01T05:50:00Z	7.93	177.0	26.1
2023-01-01T06:00:00Z	9.1	162.8	27.7
2023-01-01T06:10:00Z	8.59	157.6	27.0
2023-01-01T06:20:00Z	7.89	144.5	27.0
2023-01-01T06:30:00Z	8.92	164.0	27.1
